N,theta,body_reduce_ms,build_tree_ms,compute_cmass_ms,compute_forces_ms,apply_forces_ms,barnes_hut_ms
5000,0.25,0.022496,0.037312,0.05952,3.79904,0.00576,4
5000,0.5,0.006144,0.029568,0.049888,0.784288,0.005536,1
5000,1,0.0072,0.037728,0.050848,0.1704,0.005856,0
10000,0.25,0.007648,0.050816,0.055776,9.65414,0.008576,10
10000,0.5,0.0064,0.04224,0.054656,1.81613,0.009216,2
10000,1,0.00752,0.042112,0.055712,0.3536,0.008544,1
25000,0.25,0.008192,0.063008,0.075168,29.5599,0.01504,31
25000,0.5,0.008256,0.062368,0.0752,5.20733,0.014432,6
25000,1,0.00816,0.065568,0.076768,0.986016,0.014592,2
50000,0.25,0.010016,0.096992,0.111648,59.6767,0.024928,62
50000,0.5,0.009696,0.094432,0.113312,10.172,0.024576,13
50000,1,0.008512,0.101408,0.116992,1.87421,0.023904,4
500000,0.25,0.0256,0.878048,1.56467,1981.02,0.284672,2005
500000,0.5,0.024576,0.876096,1.54125,281.825,0.275232,304
500000,1,0.023552,0.894496,1.57152,37.2928,0.275808,59
1000000,0.25,0.038912,1.97293,3.41024,5303.03,0.569376,5349
1000000,0.5,0.039168,1.95434,3.36467,735.468,0.567328,778
1000000,1,0.038912,1.98131,3.45642,94.3473,0.5632,137
