N,theta,body_reduce_ms,build_tree_ms,compute_cmass_ms,sort_body_ms,compute_forces_ms,apply_forces_ms,barnes_hut_ms
5000,0.25,0.021344,0.037344,0.059072,0.024256,2.07053,0.005568,2
5000,0.5,0.006752,0.02896,0.047616,0.017152,0.724992,0.006144,1
5000,1,0.006752,0.03728,0.05056,0.01696,0.2648,0.004672,0
10000,0.25,0.006848,0.049568,0.060256,0.01984,3.00614,0.008224,3
10000,0.5,0.006144,0.05088,0.059072,0.01856,1.03014,0.008576,1
10000,1,0.006592,0.048608,0.05408,0.019744,0.305504,0.008544,1
25000,0.25,0.008192,0.07072,0.070624,0.022528,4.49949,0.014336,6
25000,0.5,0.007776,0.065024,0.079968,0.023264,1.3223,0.0144,2
25000,1,0.008096,0.061344,0.07344,0.02416,0.397312,0.014336,1
50000,0.25,0.009536,0.095968,0.10368,0.034432,7.41974,0.027136,9
50000,0.5,0.00944,0.097024,0.107712,0.038976,2.15232,0.026624,4
50000,1,0.008416,0.096544,0.108576,0.032896,0.64512,0.026144,3
500000,0.25,0.024032,0.767232,1.57366,0.3072,96.0231,0.256,119
500000,0.5,0.024448,0.78368,1.57878,0.311296,23.145,0.252096,44
500000,1,0.023264,0.749376,1.58042,0.311296,7.20896,0.25648,29
1000000,0.25,0.040288,1.76611,3.51475,0.93376,238.985,0.518144,285
1000000,0.5,0.038624,1.80586,3.53453,0.954368,55.6329,0.520192,98
1000000,1,0.039232,1.78848,3.47222,0.930144,17.2853,0.512416,60
