N,theta,brute_force_ms,brute_force_mem_ms,barnes_hut_ms,barnes_hut_mem_ms,speedup,avg_rel_error_pct
5000,0.25,3.58848,0.29,3.89994,0.346,0.920138,2.51174
5000,0.5,3.58848,0.29,0.87168,0.299,4.11674,2.8578
5000,1,3.58848,0.29,0.269952,0.302,13.293,5.37679
10000,0.25,6.99981,0.338,5.29862,0.529,1.32106,1.11177
10000,0.5,6.99981,0.338,1.14989,0.486,6.08738,1.39893
10000,1,6.99981,0.338,0.321216,0.452,21.7916,3.70406
25000,0.25,17.6825,0.705,11.3056,0.964,1.56405,0.395085
25000,0.5,17.6825,0.705,2.11421,0.785,8.36365,0.616905
25000,1,17.6825,0.705,0.513888,0.782,34.4092,2.56352
50000,0.25,42.3769,1.174,28.0666,1.758,1.50987,0.130174
50000,0.5,42.3769,1.174,4.64832,1.839,9.1166,0.314153
50000,1,42.3769,1.174,0.816736,1.818,51.8857,2.06216
500000,0.25,2432.12,11.913,2169.35,18.508,1.12113,0.0215367
500000,0.5,2432.12,11.913,298.201,17.163,8.15596,0.11302
500000,1,2432.12,11.913,40.2309,17.495,60.454,1.5488
1000000,0.25,9777.48,26.672,6376.48,35.233,1.53337,0.0174479
1000000,0.5,9777.48,26.672,865.196,29.72,11.3009,0.0931308
1000000,1,9777.48,26.672,115.133,30.551,84.9233,1.48811
