N,theta,body_reduce_ms,build_tree_ms,compute_cmass_ms,sort_body_ms,compute_forces_ms,apply_forces_ms,barnes_hut_ms,barnes_hut_mem_ms
5000,0.25,0.02256,0.035744,0.055136,0,3.78064,0.005856,3.89994,0.346
5000,0.5,0.006752,0.026848,0.054688,0,0.778752,0.00464,0.87168,0.299
5000,1,0.006592,0.038496,0.049312,0,0.169984,0.005568,0.269952,0.302
10000,0.25,0.00752,0.051456,0.05584,0,5.17533,0.00848,5.29862,0.529
10000,0.5,0.007456,0.040192,0.065984,0,1.02806,0.008192,1.14989,0.486
10000,1,0.007552,0.041792,0.05568,0,0.206848,0.009344,0.321216,0.452
25000,0.25,0.008192,0.06576,0.07632,0,11.141,0.014336,11.3056,0.964
25000,0.5,0.00704,0.062656,0.078848,0,1.95133,0.014336,2.11421,0.785
25000,1,0.00752,0.064288,0.072928,0,0.3544,0.014752,0.513888,0.782
50000,0.25,0.008832,0.095872,0.113504,0,27.8238,0.024576,28.0666,1.758
50000,0.5,0.008032,0.07824,0.09344,0,4.44512,0.023488,4.64832,1.839
50000,1,0.009216,0.078944,0.088064,0,0.619488,0.021024,0.816736,1.818
500000,0.25,0.025536,0.79104,1.44637,0,2166.83,0.258176,2169.35,18.508
500000,0.5,0.025952,0.753856,1.45773,0,295.713,0.25072,298.201,17.163
500000,1,0.024448,0.751232,1.4521,0,37.7512,0.251904,40.2309,17.495
1000000,0.25,0.039264,1.7665,3.26064,0,6370.9,0.5128,6376.48,35.233
1000000,0.5,0.038688,1.78048,3.23094,0,859.635,0.511424,865.196,29.72
1000000,1,0.038912,1.78771,3.21213,0,109.587,0.507808,115.133,30.551
