N,theta,body_reduce_ms,build_tree_ms,compute_cmass_ms,sort_body_ms,compute_forces_ms,apply_forces_ms,barnes_hut_ms,barnes_hut_mem_ms
5000,0.25,0.023808,0.034976,0.057568,0,3.79872,0.005568,3.92064,0.327
5000,0.5,0.006336,0.026816,0.050688,0,0.779584,0.005824,0.869248,0.302
5000,1,0.00704,0.0376,0.051936,0,0.170368,0.005856,0.2728,0.286
10000,0.25,0.006464,0.047456,0.057664,0,9.66451,0.008544,9.78464,0.535
10000,0.5,0.008192,0.042112,0.057632,0,1.83802,0.009824,1.95578,0.47
10000,1,0.006496,0.042976,0.056128,0,0.359328,0.00848,0.473408,0.452
25000,0.25,0.00816,0.065312,0.077056,0,29.5284,0.016384,29.6953,1.051
25000,0.5,0.008192,0.066176,0.076256,0,5.18554,0.014816,5.35098,0.884
25000,1,0.007936,0.067584,0.074112,0,0.983936,0.014464,1.14803,0.818
50000,0.25,0.008224,0.079232,0.090208,0,48.2664,0.021184,48.4653,1.884
50000,0.5,0.008128,0.0776,0.084544,0,8.25139,0.020672,8.44234,1.933
50000,1,0.00816,0.079584,0.08448,0,1.50973,0.020864,1.70282,1.927
500000,0.25,0.026624,0.748832,1.49018,0,1928.23,0.26,1930.76,18.215
500000,0.5,0.02496,0.785184,1.45872,0,271.047,0.255168,273.571,17.474
500000,1,0.0248,0.761248,1.44352,0,34.9808,0.254016,37.4644,17.574
1000000,0.25,0.038912,1.80109,3.20688,0,5227.98,0.510656,5233.54,35.597
1000000,0.5,0.040064,1.78976,3.2561,0,722.226,0.509344,727.821,33.131
1000000,1,0.039584,1.78035,3.21354,0,90.545,0.503008,96.0815,34.3
