N,theta,brute_force_ms,brute_force_mem_ms,barnes_hut_ms,barnes_hut_mem_ms,speedup,avg_rel_error_pct
5000,0.25,3.59571,0.37,2.23354,0.37,1.60987,2.48553
5000,0.5,3.59571,0.37,0.827392,0.258,4.34584,2.65344
5000,1,3.59571,0.37,0.385152,0.254,9.33583,3.83929
10000,0.25,6.99818,0.299,3.1433,0.553,2.22638,1.08867
10000,0.5,6.99818,0.299,1.15971,0.445,6.03441,1.23292
10000,1,6.99818,0.299,0.445728,0.46,15.7006,2.41131
25000,0.25,17.6481,0.663,4.65786,1.134,3.78888,0.376714
25000,0.5,17.6481,0.663,1.49715,0.856,11.7878,0.493812
25000,1,17.6481,0.663,0.5784,0.848,30.5119,1.52754
50000,0.25,42.3962,1.252,7.72547,1.955,5.48784,0.116058
50000,0.5,42.3962,1.252,2.44579,1.999,17.3343,0.214668
50000,1,42.3962,1.252,0.904448,1.968,46.8752,1.1959
500000,0.25,2585.06,13.406,99.9412,17.709,25.8658,0.0308334
500000,0.5,2585.06,13.406,26.2456,16.624,98.4952,0.0834258
500000,1,2585.06,13.406,10.2055,17.103,253.302,1.04876
1000000,0.25,9736.84,26.222,249.357,33.502,39.0477,0.0122516
1000000,0.5,9736.84,26.222,62.4472,29.886,155.921,0.0571365
1000000,1,9736.84,26.222,24.145,35.527,403.266,1.04531
