N,theta,body_reduce_ms,build_tree_ms,compute_cmass_ms,sort_body_ms,compute_forces_ms,apply_forces_ms,barnes_hut_ms,barnes_hut_mem_ms
5000,0.25,0.023136,0.039392,0.061664,0.026464,2.07667,0.006208,2.23354,0.37
5000,0.5,0.007168,0.027392,0.041664,0.0168,0.728736,0.005632,0.827392,0.258
5000,1,0.00752,0.03712,0.050272,0.017728,0.266496,0.006016,0.385152,0.254
10000,0.25,0.006624,0.04016,0.056096,0.018816,3.01306,0.008544,3.1433,0.553
10000,0.5,0.008192,0.048384,0.055488,0.018528,1.02067,0.008448,1.15971,0.445
10000,1,0.006464,0.049536,0.05712,0.018432,0.3056,0.008576,0.445728,0.46
25000,0.25,0.007072,0.067872,0.078336,0.024576,4.46669,0.013312,4.65786,1.134
25000,0.5,0.008192,0.06576,0.075008,0.023104,1.31072,0.014368,1.49715,0.856
25000,1,0.007872,0.063776,0.07376,0.024096,0.395488,0.013408,0.5784,0.848
50000,0.25,0.009184,0.100032,0.107904,0.032864,7.44893,0.02656,7.72547,1.955
50000,0.5,0.009888,0.095392,0.11888,0.034016,2.16083,0.026784,2.44579,1.999
50000,1,0.008992,0.096256,0.111968,0.034496,0.626688,0.026048,0.904448,1.968
500000,0.25,0.024096,0.761728,1.57382,0.3088,97.0091,0.263616,99.9412,17.709
500000,0.5,0.024384,0.757728,1.59171,0.315872,23.298,0.257824,26.2456,16.624
500000,1,0.024576,0.76128,1.58861,0.31744,7.2536,0.259968,10.2055,17.103
1000000,0.25,0.038912,1.7688,3.46554,0.948192,242.616,0.520192,249.357,33.502
1000000,0.5,0.038496,1.78058,3.45776,0.9504,55.6957,0.524288,62.4472,29.886
1000000,1,0.038528,1.78214,3.50723,0.955968,17.3436,0.517536,24.145,35.527
