N,theta,compute_box_us,build_tree_us,traverse_tree_us,update_points_us
10,0.5,3,21,25,2
10,1,2,16,16,1
100,0.5,12,224,1475,15
100,1,12,173,568,14
500,0.5,52,1094,3949,30
500,1,8,224,869,12
1000,0.5,19,442,8618,25
1000,1,17,336,2082,25
5000,0.5,88,2078,74181,128
5000,1,85,1866,14749,122
10000,0.5,163,4095,175960,250
10000,1,199,3710,33887,245
25000,0.5,410,10788,540881,629
25000,1,408,10030,103742,640
50000,0.5,838,22382,1334574,1258
50000,1,861,20741,230369,1264
500000,0.5,8303,288321,27935559,12550
500000,1,8388,261930,4270016,12713
1000000,0.5,16650,625416,67247801,25033
1000000,1,16979,634146,10129807,25367
