N,theta,body_reduce_ms,build_tree_ms,compute_cmass_ms,compute_forces_ms,apply_forces_ms,barnes_hut_ms
25000,0.25,0.023904,13315.4,0.10416,29.3512,0.014336,13346
25000,0.5,0.00832,14305.7,0.075936,5.18384,0.014336,14312
25000,1,0.008064,14328.8,0.076544,0.972128,0.014336,14331
50000,0.25,0.008192,6995.57,0.11392,59.7238,0.024832,7057
50000,0.5,0.008192,3166.52,0.10944,10.2605,0.024448,3179
50000,1,0.009344,3925.93,0.113184,1.8696,0.024352,3930
500000,0.25,0.022816,1985.86,1.57453,1982.42,0.281984,3992
500000,0.5,0.023168,5156.21,1.54074,281.494,0.27632,5459
500000,1,0.024384,6859.93,1.55194,37.2141,0.277856,6919
1000000,0.25,0.036992,1751.96,3.38026,5293.54,0.57136,7091
1000000,0.5,0.037536,1819.11,3.37811,736.15,0.566496,2595
1000000,1,0.037568,6380.55,3.36486,94.5766,0.5624,6516
