N,theta,body_reduce_ms,build_tree_ms,compute_cmass_ms,compute_forces_ms,apply_forces_ms,barnes_hut_ms
5000,0.25,0.023168,0.040288,0.060448,4.2768,0.006016,4
5000,0.5,0.006816,0.032352,0.055328,0.884832,0.005952,1
5000,1,0.006816,0.026496,0.040096,0.168544,0.004672,0
10000,0.25,0.007936,0.049376,0.056704,5.17254,0.008192,6
10000,0.5,0.006816,0.043232,0.055392,1.02989,0.008192,1
10000,1,0.008192,0.040896,0.057792,0.210432,0.008512,1
25000,0.25,0.008256,0.067424,0.073152,11.1514,0.014848,12
25000,0.5,0.008192,0.066912,0.073984,1.93834,0.014784,3
25000,1,0.00752,0.06352,0.074016,0.355264,0.01488,1
50000,0.25,0.009376,0.102112,0.10224,29.4543,0.028416,32
50000,0.5,0.008896,0.099104,0.106528,4.96064,0.027424,7
50000,1,0.009792,0.092224,0.104256,0.658464,0.020864,3
500000,0.25,0.023904,0.75472,1.45539,2346.38,0.249856,2370
500000,0.5,0.022464,0.771296,1.44131,301.011,0.250144,323
500000,1,0.023776,0.744416,1.45725,39.0046,0.253952,61
1000000,0.25,0.038912,1.79126,3.21315,6417.66,0.514176,6465
1000000,0.5,0.038912,1.79021,3.21146,867.1,0.511296,910
1000000,1,0.038432,1.77616,3.21411,110.49,0.509472,153
